EqDiameter,Sphericity,Normalized Density
4.0342,0.553238,0.0006327132904290168
5.59111,0.28121,0.1343725047349676
3.24846,0.513036,0.14740634915056974
3.5708800000000003,0.759142,0.06877918796326397
3.5457300000000003,0.609924,0.002336221369887168
2.67623,0.350166,0.010942040300267809
2.2907800000000003,0.340517,0.8300891540322146
1.94356,0.430604,0.004502319175097306
3.03787,0.887271,0.9562546774514433
3.1804699999999997,0.310162,0.227204802493366
2.20936,0.886297,0.15072053937495317
2.04246,0.92179,0.0005088585530752246
2.6269,0.852724,0.14101936339486446
1.61954,0.37562,0.176643497343884
2.5656700000000003,0.592309,0.026552655727514533
3.20263,0.699797,0.4002010916776313
3.04136,0.768333,0.0416031031887141
2.9103000000000003,0.247076,0.5383402262456167
1.5213900000000002,0.338128,6.802754028455393e-05
2.56535,0.785414,0.9058472052597489
2.59532,0.698114,0.1343725047349676
2.40422,0.654181,0.18920960676208637
2.28496,0.703606,0.7176900398093603
1.44411,0.450516,0.18879984436070657
2.05661,0.633099,0.11450169134573274
1.3016800000000002,0.350238,0.14049614733585797
0.49373300000000003,0.487653,0.02471587731930935
1.36944,0.531069,0.3579781594495339
1.25406,0.663634,0.11450169134573274
1.63552,0.955783,0.8626394657453116
1.0494400000000002,0.35067,0.5944026288251373
2.2324800000000002,0.649448,0.009278821151716857
1.8862,0.865117,0.9484910274994893
2.02305,0.81088,0.07559418116005392
2.2993400000000004,0.596231,0.13439315068726587
2.03248,0.575787,0.7963583056789391
1.72225,0.933067,0.23515724361244672
1.8302100000000001,0.654456,0.004408114624296126
0.9750489999999999,0.362056,0.019983554828945625
1.54089,0.545614,0.20630864517692493
0.954108,0.973706,0.03832013884707212
2.27401,0.466445,0.9486667545203802
1.79986,0.703244,0.23865982678241499
2.10118,0.546017,0.8311003912590033
1.8224,0.799187,0.02542873297753619
1.5233800000000002,0.760191,0.45288795697071904
1.96057,0.81803,0.6755973472230629
2.7807500000000003,0.657447,0.11450169134573274
2.76795,0.642726,0.5252707189592221
3.01751,0.263939,0.13439315068726587
1.52647,0.596354,0.5180230137768871
3.08265,0.256347,0.466160502059912
1.0714100000000002,0.414288,0.37726763771361443
0.655689,0.475973,0.9502678214088599
1.0934100000000002,0.748398,0.2799907044919419
2.2874000000000003,0.538208,0.015354214263692894
