Width3D,Thickness3D,Length3D,Width3D/Thickness3D,Thickness3D/Length3D,Normalized Density
1.76776,1.28793,4.3014600000000005,1.3725590676511923,0.29941694215452425,0.08731080487946082
0.0714004,0.052280700000000006,0.11414700000000001,1.3657123948225636,0.45801203711004235,0.23335882723501483
0.230096,0.204694,0.420065,1.1240974332418145,0.48729125254424904,0.48727639107809906
0.30312700000000004,0.259728,0.759845,1.1670940368385387,0.34181708111522746,0.18313960498443332
0.144496,0.11462699999999999,0.535789,1.2605756060962952,0.21394056242289408,0.02373015760582267
0.154842,0.123257,0.699587,1.2562531945447317,0.1761853779444158,0.010765525154552254
0.24037200000000003,0.233796,0.309802,1.0281270851511575,0.7546626555025467,0.8851786813793537
0.291985,0.247341,1.4040899999999998,1.1804957528270688,0.17615751127064508,0.009046440113717491
0.191776,0.184484,0.30479,1.0395264629995014,0.6052823255356147,0.7883923941167048
0.148166,0.116305,0.267168,1.2739435105971366,0.4353253383638759,0.14335553848447485
0.19162500000000002,0.19041300000000003,0.407001,1.006365111625782,0.4678440593512056,0.2473062480775411
2.2060400000000002,1.7036099999999998,6.31649,1.294920785860614,0.26970833485052614,0.050424443311214685
0.075272,0.0548835,0.147017,1.3714868767480208,0.37331397049320825,0.31056262441572546
0.258293,0.235128,0.39141699999999996,1.0985208056888163,0.6007097290102372,0.8318408315739662
0.505472,0.462683,0.948778,1.09248016460514,0.48766202420376525,0.5610106204804192
0.118632,0.13132,0.20116399999999998,0.9033810539141031,0.6528006999264282,0.4394829303850957
0.269022,0.227547,0.65243,1.1822700365199277,0.3487684502551998,0.19163253751013648
0.122393,0.116035,0.199457,1.0547938122118325,0.5817544633680443,0.750609769135244
1.42377,1.20001,3.01413,1.1864651127907266,0.39812814974802013,0.2656775072471609
0.17018799999999998,0.197525,0.268959,0.8616023288191367,0.734405615725817,0.4206212999585249
0.0567295,0.0523424,0.11763200000000001,1.0838154154184754,0.44496735582154506,0.6913942943031613
0.100142,0.058921,0.176262,1.6995977665009079,0.33428078655637633,0.00047822404868510095
0.130572,0.128289,0.241573,1.0177957580151065,0.5310568647986322,0.4531867332641066
0.0838764,0.057843200000000004,0.17930600000000002,1.4500650033193183,0.32259489364549987,0.04926537077970731
0.0567295,0.0518154,0.0567295,1.094838600107304,0.9133766382569914,0.5312860144547437
0.0619024,0.0617157,0.151404,1.003025162154849,0.40762265197749065,0.24448528206998424
0.252031,0.21817,0.6520950000000001,1.1552046569189165,0.33456781603907404,0.1600005456177138
0.156112,0.127361,0.26135800000000003,1.2257441445968547,0.48730476970285963,0.22673967855773314
0.0567295,0.0518154,0.0567295,1.094838600107304,0.9133766382569914,0.5312860144547437
0.211415,0.214356,0.324793,0.9862798335479296,0.6599772778354213,0.7198033067981313
0.27801400000000004,0.241737,0.420498,1.150068049160865,0.5748826391564289,0.6113778387816142
0.46611,0.43502100000000005,1.0688900000000001,1.0714655154578745,0.4069838804741367,0.3933629344291562
0.165015,0.175829,0.246507,0.9384970624868479,0.7132819757653941,0.5878244591163554
0.488225,0.45048200000000005,0.791532,1.0837835917972305,0.569126706184968,0.725853827307011
0.0801133,0.0526118,0.10828600000000001,1.522724940032464,0.48585966791644347,0.19202713062496835
0.248615,0.26737,0.317536,0.9298537607061376,0.8420147636803387,0.1832921834618531
