Throat EqRadius,Cumulative Frequency of Pore Throat ChannelLength
15.65537262,0.00034298805171753457
15.65537453,0.0005266260555288928
15.65543556,0.000981806919642741
15.65549946,0.0010976750004627626
15.65561199,0.0013439955095080713
15.65604115,0.0015512970025497435
15.67734623,0.0016606783124609203
17.32736969,0.0022371056672722284
17.32844734,0.0024967538754655447
17.32849503,0.0026539442547546975
17.32854462,0.0028311258393239882
17.32898521,0.003042875218521071
17.76817513,0.0031850983374100395
17.7685051,0.003307651330007207
18.22212219,0.0035719829519618536
19.64732742,0.004009269042723261
19.65456963,0.004245380478487697
19.65476418,0.004485510383037837
19.65593529,0.004953578292904883
20.4418354,0.005344883698405127
20.52555275,0.005780548420249666
21.14358711,0.0059485056530260046
21.14416885,0.0061971397287624175
21.72075272,0.006372459578839748
21.73503876,0.006639411447242375
23.34466743,0.00757940279152998
25.69286728,0.008115724983862989
26.36972618,0.008783333168885873
27.02479744,0.009074530768486891
27.07350922,0.009206345685582132
29.03188515,0.009341917221482332
29.29627037,0.009834784391766823
29.41524887,0.009971807081092757
29.49575615,0.010345632430735253
30.44989777,0.010755789605971388
30.71156502,0.010943596612928968
31.31099892,0.011043300479299308
31.31099892,0.011442944835938228
31.55209541,0.01174156615688334
32.11482239,0.011960947890096147
32.11482239,0.012066388574837387
32.47888947,0.01241740351613573
33.05630493,0.012612879247591715
33.18556213,0.01293931315101692
33.25951004,0.013173386997503802
33.48327255,0.013768910080339989
33.64886475,0.013975550607477384
33.82704926,0.014469779787208547
35.57756042,0.014619743512546201
35.87722778,0.01477104338295637
36.05888367,0.01531212296096615
36.11929703,0.01595893721456904
36.2821312,0.016571238794499142
37.05692673,0.016738868192366887
37.05772781,0.016849090237783172
38.28601837,0.01717832001344162
38.47488022,0.01764989992543402
39.44804001,0.018049186531958375
39.99174881,0.01843359406314469
40.32678604,0.018657664520511114
40.84540939,0.01897422143678581
40.92626572,0.0192106862570015
41.24223709,0.019353981938881406
41.24340057,0.019791636657918166
41.28277969,0.01997434921216477
42.62145233,0.020668752780937345
42.66653824,0.020865450980081805
43.06287384,0.021263028247439544
43.20942307,0.021520087670172428
43.30134964,0.02178201709667835
43.59606934,0.022183465060887732
43.87641144,0.02245412820309775
44.00667572,0.02269346468527686
44.31829834,0.022929029061521396
44.52102661,0.023086172063303097
45.40602112,0.02330361252234001
45.46791077,0.02439375262177296
45.47784042,0.024993228388856953
45.52929306,0.02519818687242466
45.54101563,0.02540965117094657
45.59719086,0.026190010993554665
46.15213013,0.027204608895052676
46.39925766,0.02755620625009866
46.61406326,0.02823014870349818
46.64730453,0.02849146978035634
46.71570587,0.028778186873390284
46.73556137,0.028967937745287907
46.80148315,0.029464915562914046
47.49873734,0.02964952152721805
47.67276001,0.029841499283610625
47.85629272,0.030090165278218
47.8614006,0.030637084108664312
47.91953659,0.030848625714087585
48.27614975,0.03131081595422035
48.58121872,0.0314927037824655
49.23447418,0.03167151226080458
49.23536301,0.03191551954660065
49.68497086,0.032077002167799615
49.80606079,0.03237956400654364
50.17050552,0.03271361277295546
50.2374382,0.032929172303215355
50.32561874,0.03333921179338571
50.69958878,0.03362595101502799
50.72526169,0.03385503027358662
50.73321152,0.03409722908523268
51.37869644,0.03422901534679967
51.41862106,0.034814276611468985
51.65688705,0.03542790012320765
51.97943878,0.03557717037690541
52.0536232,0.035867671398763686
52.65566635,0.03601023735307981
52.66498947,0.03665413080673512
52.80098343,0.03686138034202815
52.91281509,0.0371087453310956
53.23151779,0.03729476073945724
53.58908081,0.037541643508930966
53.750892640000004,0.03783112381098817
53.76312256,0.03814322632837547
53.8760643,0.03855158616535034
54.18504715,0.038854550784257764
54.67369461,0.03966180498242976
54.77500534,0.039884913791528316
54.97680283,0.040143242358033675
55.87097168,0.04056794072570866
56.02803802,0.040702939495071914
56.32457733,0.04112380011532635
56.62979507,0.04136990111342198
57.02939224,0.04171086315532894
57.55841064,0.04199273452026685
57.8580513,0.0424010707114622
57.86337662,0.04249882442214896
57.98806381,0.04277246083739389
58.05276108,0.043004091437454574
58.49704742,0.043207487466281516
58.6149826,0.043465896073621564
58.71027374,0.043557655689057
58.73392487,0.043690795844336335
58.85152054,0.044171974204029185
59.1644249,0.04439157154052903
59.774189,0.04470468704857505
59.77550125,0.04491375162785359
59.78814316,0.0451746089206416
59.79979324,0.045440357973641474
60.02535248,0.04556515628649169
60.45079803,0.04572926155870077
60.82206726,0.046048589012478436
60.8769722,0.04635547030301531
60.88709259,0.04676070809318872
61.37472916,0.0469858784522931
61.4637146,0.04724083508795793
61.91651917,0.04758086418004085
62.2035141,0.04790198507883958
62.2843132,0.0481882331778992
62.29406738,0.04849940798421155
62.55096817,0.04874635032613474
62.70610046,0.048886791794282014
62.85729599,0.04921944419896917
63.36901093,0.049418155983747346
63.90376282,0.049687816011626924
64.24002075,0.05009003564176852
64.33930969,0.05023790572633257
64.79380798,0.05042250709597292
64.81730652,0.0508015185473557
64.85430145,0.05106125026011637
64.99171448,0.051203046208723395
65.0868454,0.05140351641354883
65.28346252,0.05159582506803726
65.40268707,0.05180611348912354
65.47556305,0.05200490832046839
65.62252045,0.05227726834929229
65.88931274,0.05247479758654573
66.01389313,0.052667164682787156
66.5014801,0.05283425077120601
66.64040375,0.05318608947935439
66.64453125,0.053750881384052346
67.06665802,0.0539910791486831
67.33184814,0.05425617771327683
67.4927597,0.05448472016069611
67.78344727,0.054603196199839006
67.79927826,0.05492073192615674
68.00634003,0.055202096595433965
68.532547,0.055496380343776894
68.6181488,0.055957388351216414
