a,b,c,c/a,1-(b/a),(a-b)/(a-c)
4.3014600000000005,1.76776,1.28793,0.29941694215452425,0.5890325610374152,0.8407747724429491
0.11414700000000001,0.0714004,0.052280700000000006,0.45801203711004235,0.37448728394088326,0.6909512933535706
0.420065,0.230096,0.204694,0.48729125254424904,0.4522371537738208,0.88205468702843
0.759845,0.30312700000000004,0.259728,0.34181708111522746,0.601067322940863,0.9132223059804007
0.535789,0.144496,0.11462699999999999,0.21394056242289408,0.730311745855178,0.9290795465877737
0.699587,0.154842,0.123257,0.1761853779444158,0.7786665561252567,0.9451963284923567
0.309802,0.24037200000000003,0.233796,0.7546626555025467,0.2241108837257345,0.9134805146962078
1.4040899999999998,0.291985,0.247341,0.17615751127064508,0.792046806116417,0.961405629051765
0.30479,0.191776,0.184484,0.6052823255356147,0.3707930050198497,0.9393878942031154
0.267168,0.148166,0.116305,0.4353253383638759,0.44542011019283756,0.7888083890682275
0.407001,0.19162500000000002,0.19041300000000003,0.4678440593512056,0.5291780609875651,0.9944041221120284
6.31649,2.2060400000000002,1.7036099999999998,0.26970833485052614,0.650749071082199,0.8910810599885537
0.147017,0.075272,0.0548835,0.37331397049320825,0.488004788561867,0.7787069849728926
0.39141699999999996,0.258293,0.235128,0.6007097290102372,0.3401078645025637,0.8517809954635324
0.948778,0.505472,0.462683,0.48766202420376525,0.4672389115261947,0.911973996852467
0.20116399999999998,0.13132,0.118632,0.5897277842954008,0.3471993000735718,0.8462656908835362
0.65243,0.269022,0.227547,0.3487684502551998,0.5876615115797863,0.9023848918408127
0.199457,0.122393,0.116035,0.5817544633680443,0.3863689918127716,0.9237850926614082
3.01413,1.42377,1.20001,0.39812814974802013,0.527634839904052,0.8766564505104404
0.268959,0.197525,0.17018799999999998,0.6327655888072159,0.265594384274183,0.7232284779945528
0.11763200000000001,0.0567295,0.0523424,0.44496735582154506,0.5177375204026116,0.9328055310493554
0.176262,0.100142,0.058921,0.33428078655637633,0.4318571217846161,0.6487076128548419
0.241573,0.130572,0.128289,0.5310568647986322,0.45949257574315017,0.979847109918435
0.17930600000000002,0.0838764,0.057843200000000004,0.32259489364549987,0.5322164344751431,0.7856693572023699
0.0567295,0.0567295,0.0518154,0.9133766382569914,0.0,0.0
0.151404,0.0619024,0.0617157,0.40762265197749065,0.5911442234022879,0.9979183460941952
0.6520950000000001,0.252031,0.21817,0.33456781603907404,0.6135057008564704,0.9219657774961111
0.26135800000000003,0.156112,0.127361,0.48730476970285963,0.4026890319026011,0.785435494824511
0.0567295,0.0567295,0.0518154,0.9133766382569914,0.0,0.0
0.324793,0.214356,0.211415,0.650922279728935,0.34002272216457874,0.9740602233237489
0.420498,0.27801400000000004,0.241737,0.5748826391564289,0.3388458446889163,0.7970642366064185
1.0688900000000001,0.46611,0.43502100000000005,0.4069838804741367,0.5639308067247332,0.9509535882019787
0.246507,0.175829,0.165015,0.6694130389806374,0.2867180242346059,0.8672998576547389
0.791532,0.488225,0.45048200000000005,0.569126706184968,0.38318981418312836,0.8893329423838148
0.10828600000000001,0.0801133,0.0526118,0.48585966791644347,0.2601693663077407,0.5060279267596123
0.317536,0.26737,0.248615,0.7829505945782526,0.15798523631966133,0.7278768445031268
0.26838799999999996,0.128788,0.09581350000000001,0.3569962144358169,0.5201424802897296,0.8089260000753297
1.76377,0.606511,0.359299,0.2037108012949534,0.6561280665846454,0.8239821256544279
0.9041570000000001,0.361478,0.290373,0.32115329527947023,0.60020438928195,0.8841530571015211
0.53063,0.342782,0.32764499999999996,0.6174641463920244,0.35400938507057655,0.9254279872897012
0.747075,0.32047000000000003,0.279989,0.37478030987517985,0.5710336980892146,0.9133328766008828
0.331035,0.211231,0.205013,0.6193091364961408,0.36190735118643047,0.9506594086746758
0.50239,0.306058,0.30009199999999997,0.5973287684866339,0.3907959951432154,0.9705088532758602
0.23064400000000002,0.13063999999999998,0.129939,0.5633747246839285,0.4335859593139212,0.9930390745246017
0.8226960000000001,0.630875,0.599896,0.7291830761301865,0.2331614593969098,0.8609560143626572
0.428462,0.328221,0.319835,0.7464722659185645,0.23395540327963749,0.9228000405055833
0.33118200000000003,0.234904,0.23089400000000002,0.6971816101116607,0.2907102439142224,0.960015156349713
0.0567295,0.0567295,0.0518154,0.9133766382569914,0.0,0.0
0.318998,0.19117599999999998,0.188569,0.5911290979880751,0.4006984369807962,0.9800121138703816
0.10828600000000001,0.0801133,0.0526118,0.48585966791644347,0.2601693663077407,0.5060279267596123
0.423566,0.323919,0.29844600000000004,0.7046032967707513,0.2352573152708196,0.7964114450127879
0.230588,0.118632,0.113056,0.490294377851406,0.4855239648203722,0.9525576013341047
0.191052,0.151827,0.123227,0.6449919393672927,0.20531059606808622,0.5783265757464063
0.26838799999999996,0.169601,0.147619,0.5500208653143956,0.3680753237849679,0.8179830916874363
0.553357,0.30684100000000003,0.290941,0.5257745000063251,0.44549178920660615,0.9394091823669287
0.989103,0.549249,0.529269,0.5350999845314391,0.44469989475312477,0.9565495374417725
0.37298000000000003,0.29968,0.26957600000000004,0.7227626146174058,0.19652528285698967,0.708870063053654
0.0567295,0.0567295,0.0518154,0.9133766382569914,0.0,0.0
0.7124109999999999,0.5007389999999999,0.433616,0.6086598887439976,0.2971206227865656,0.7592388672680646
0.36358100000000004,0.24044100000000002,0.236289,0.649893696315264,0.33868656502952577,0.967382082141847
0.251556,0.125673,0.113459,0.45102879676891033,0.5004174020893956,0.9115549215406562
0.382368,0.278474,0.277175,0.7248906812285547,0.2717120679554774,0.9876512695711692
0.258739,0.0722482,0.0658792,0.2546164281380078,0.7207680326506634,0.9669760105527435
1.07955,0.546336,0.5175919999999999,0.4794516233615858,0.4939224676948728,0.9488502699489996
0.0567295,0.0567295,0.0518154,0.9133766382569914,0.0,0.0
0.519692,0.256413,0.22073500000000001,0.4247419625470471,0.5066058357642604,0.8806584224487134
0.17892500000000003,0.12651,0.0916053,0.5119759675841833,0.29294397093754376,0.600265461287659
0.245681,0.184898,0.16876400000000003,0.6869232867010474,0.24740618932681002,0.790241429072897
0.9355420000000001,0.6463909999999999,0.638884,0.682902531366844,0.30907324310399764,0.9746947663639615
0.41263600000000006,0.312958,0.297099,0.7200026173188959,0.24156399344700907,0.8627366125137401
1.54773,0.481664,0.368788,0.2382767020087483,0.6887932649751571,0.9042565283109771
0.289962,0.17609200000000003,0.161221,0.5560073388926825,0.39270663052399957,0.8844890128241972
0.14767,0.0619024,0.0577662,0.391184397643394,0.5808058508837273,0.9539930459001732
1.45233,0.5054270000000001,0.46063600000000005,0.3171703400742256,0.6519888730522676,0.954833849957749
0.15984299999999999,0.08429880000000001,0.0534083,0.3341297398071858,0.472615003472157,0.7097704038250682
0.191831,0.124417,0.111818,0.5828984887739729,0.35142390958708447,0.8425380875607714
0.5988450000000001,0.46126900000000004,0.439716,0.734273476442151,0.22973557431388758,0.864556429060699
0.330412,0.27114800000000006,0.252031,0.7627779862716851,0.17936394561940827,0.7561016062566176
0.0567295,0.0567295,0.0518154,0.9133766382569914,0.0,0.0
0.210685,0.127291,0.118632,0.5630775802738686,0.3958231483019675,0.9059346246184266
0.27409,0.140882,0.132379,0.4829763946149075,0.4860009485935276,0.9399976007508238
0.421874,0.344247,0.322762,0.7650672949743288,0.18400517690116003,0.7832250383404631
0.593429,0.329647,0.312672,0.5268903272337551,0.44450473434901216,0.9395384620864305
0.34336300000000003,0.23654,0.235338,0.6853912623084024,0.3111080693027496,0.9888729460772968
0.525985,0.335727,0.308193,0.585934960122437,0.3617175394735592,0.8735766235674405
0.36976,0.249697,0.240227,0.6496835785374298,0.32470521419299003,0.9268912169099766
0.11414700000000001,0.0714004,0.052280700000000006,0.45801203711004235,0.37448728394088326,0.6909512933535706
0.0567295,0.0567295,0.0518154,0.9133766382569914,0.0,0.0
1.51935,0.8194629999999999,0.7495940000000001,0.49336492579063423,0.4606489617270544,0.9092322762018096
0.17930600000000002,0.128255,0.113459,0.6327674478266203,0.28471439884889527,0.775297280058317
0.199457,0.123629,0.0934185,0.4683641085547261,0.3801721674345848,0.7150987612989621
0.268164,0.180958,0.15124,0.5639832341403023,0.32519652153160006,0.7458349013034108
0.334669,0.246081,0.216891,0.648076158831562,0.2647033337416971,0.7521608449795378
0.479817,0.280404,0.276403,0.5760592059055849,0.4156021983381164,0.9803307540287297
