EqDiameter,Cumulative Frequency of Volume
0.06428740000000001,1.6609139991159003e-07
0.06428740000000001,3.3218279982318007e-07
0.06428740000000001,4.982741997347701e-07
0.06428740000000001,6.643655996463601e-07
0.06428740000000001,8.304569995579501e-07
0.06428740000000001,9.965483994695402e-07
0.06428740000000001,1.1626397993811303e-06
0.06428740000000001,1.3287311992927203e-06
0.06428740000000001,1.49482259920431e-06
0.06428740000000001,1.6609139991159e-06
0.06428740000000001,1.8270053990274899e-06
0.06428740000000001,1.9930967989390797e-06
0.06428740000000001,2.15918819885067e-06
0.06428740000000001,2.3252795987622597e-06
0.06428740000000001,2.4913709986738495e-06
0.06428740000000001,2.6574623985854393e-06
0.06428740000000001,2.8235537984970295e-06
0.06428740000000001,2.9896451984086193e-06
0.06428740000000001,3.155736598320209e-06
0.06428740000000001,3.321827998231799e-06
0.06428740000000001,3.487919398143389e-06
0.06428740000000001,3.654010798054979e-06
0.06428740000000001,3.820102197966568e-06
0.06428740000000001,3.9861935978781585e-06
0.06428740000000001,4.152284997789749e-06
0.06428740000000001,4.318376397701338e-06
0.06428740000000001,4.484467797612928e-06
0.06428740000000001,4.6505591975245185e-06
0.06428740000000001,4.816650597436108e-06
0.06428740000000001,4.982741997347698e-06
0.06428740000000001,5.1488333972592874e-06
0.06428740000000001,5.314924797170878e-06
0.06428740000000001,5.481016197082468e-06
0.06428740000000001,5.647107596994057e-06
0.06428740000000001,5.8131989969056475e-06
0.06428740000000001,5.979290396817238e-06
0.06428740000000001,6.145381796728827e-06
0.06428740000000001,6.311473196640417e-06
0.06428740000000001,6.477564596552007e-06
0.06428740000000001,6.643655996463597e-06
0.06428740000000001,6.809747396375187e-06
0.06428740000000001,6.9758387962867765e-06
0.06428740000000001,7.141930196198367e-06
0.06428740000000001,7.308021596109957e-06
0.06428740000000001,7.474112996021546e-06
0.06428740000000001,7.640204395933136e-06
0.06428740000000001,7.806295795844727e-06
0.06428740000000001,7.972387195756317e-06
0.06428740000000001,8.138478595667905e-06
0.06428740000000001,8.304569995579496e-06
0.06428740000000001,8.470661395491086e-06
0.06428740000000001,8.636752795402676e-06
0.06428740000000001,8.802844195314266e-06
0.06428740000000001,8.968935595225855e-06
0.06428740000000001,9.135026995137445e-06
0.06428740000000001,9.301118395049035e-06
0.06428740000000001,9.467209794960625e-06
0.06428740000000001,9.633301194872216e-06
0.06428740000000001,9.799392594783806e-06
0.06428740000000001,9.965483994695396e-06
0.06428740000000001,1.0131575394606986e-05
0.06428740000000001,1.0297666794518575e-05
0.06428740000000001,1.0463758194430165e-05
0.06428740000000001,1.0629849594341755e-05
0.06428740000000001,1.0795940994253346e-05
0.06428740000000001,1.0962032394164936e-05
0.06428740000000001,1.1128123794076526e-05
0.06428740000000001,1.1294215193988114e-05
0.06428740000000001,1.1460306593899705e-05
0.06428740000000001,1.1626397993811295e-05
0.06428740000000001,1.1792489393722885e-05
0.06428740000000001,1.1958580793634475e-05
0.06428740000000001,1.2124672193546064e-05
0.06428740000000001,1.2290763593457654e-05
0.06428740000000001,1.2456854993369244e-05
0.06428740000000001,1.2622946393280835e-05
0.06428740000000001,1.2789037793192425e-05
0.06428740000000001,1.2955129193104013e-05
0.06428740000000001,1.3121220593015604e-05
0.06428740000000001,1.3287311992927194e-05
0.06428740000000001,1.3453403392838784e-05
0.06428740000000001,1.3619494792750374e-05
0.06428740000000001,1.3785586192661963e-05
0.06428740000000001,1.3951677592573553e-05
0.06428740000000001,1.4117768992485143e-05
0.06428740000000001,1.4283860392396733e-05
0.06428740000000001,1.4449951792308324e-05
0.06428740000000001,1.4616043192219914e-05
0.06428740000000001,1.4782134592131502e-05
0.06428740000000001,1.4948225992043093e-05
0.06428740000000001,1.5114317391954683e-05
0.06428740000000001,1.5280408791866273e-05
0.06428740000000001,1.5446500191777863e-05
0.06428740000000001,1.5612591591689453e-05
0.06428740000000001,1.5778682991601044e-05
0.06428740000000001,1.5944774391512634e-05
0.06428740000000001,1.611086579142422e-05
0.06428740000000001,1.627695719133581e-05
0.06428740000000001,1.64430485912474e-05
0.06428740000000001,1.660913999115899e-05
0.06428740000000001,1.677523139107058e-05
0.06428740000000001,1.6941322790982172e-05
0.06428740000000001,1.7107414190893762e-05
0.06428740000000001,1.7273505590805352e-05
0.06428740000000001,1.7439596990716942e-05
0.06428740000000001,1.7605688390628533e-05
0.06428740000000001,1.777177979054012e-05
0.06428740000000001,1.793787119045171e-05
0.06428740000000001,1.81039625903633e-05
0.06428740000000001,1.827005399027489e-05
0.06428740000000001,1.843614539018648e-05
0.06428740000000001,1.860223679009807e-05
0.06428740000000001,1.876832819000966e-05
0.06428740000000001,1.893441958992125e-05
0.06428740000000001,1.9100510989832845e-05
0.06428740000000001,1.9266602389744435e-05
0.06428740000000001,1.943269378965603e-05
0.06428740000000001,1.959878518956762e-05
0.06428740000000001,1.9764876589479212e-05
0.06428740000000001,1.9930967989390806e-05
0.06428740000000001,2.0097059389302396e-05
0.06428740000000001,2.026315078921399e-05
0.06428740000000001,2.042924218912558e-05
0.06428740000000001,2.0595333589037173e-05
0.06428740000000001,2.0761424988948764e-05
0.06428740000000001,2.0927516388860357e-05
0.06428740000000001,2.1093607788771948e-05
0.06428740000000001,2.125969918868354e-05
0.06428740000000001,2.142579058859513e-05
0.06428740000000001,2.1591881988506725e-05
0.06428740000000001,2.1757973388418315e-05
0.06428740000000001,2.192406478832991e-05
0.06428740000000001,2.20901561882415e-05
0.06428740000000001,2.2256247588153093e-05
0.06428740000000001,2.2422338988064683e-05
0.06428740000000001,2.2588430387976276e-05
0.06428740000000001,2.2754521787887867e-05
0.06428740000000001,2.292061318779946e-05
0.06428740000000001,2.308670458771105e-05
0.06428740000000001,2.3252795987622644e-05
0.06428740000000001,2.3418887387534234e-05
0.06428740000000001,2.3584978787445828e-05
0.06428740000000001,2.3751070187357418e-05
0.06428740000000001,2.3917161587269012e-05
0.06428740000000001,2.4083252987180602e-05
0.06428740000000001,2.4249344387092196e-05
0.06428740000000001,2.4415435787003786e-05
0.06428740000000001,2.458152718691538e-05
0.06428740000000001,2.474761858682697e-05
0.06428740000000001,2.4913709986738563e-05
0.06428740000000001,2.5079801386650157e-05
0.06428740000000001,2.5245892786561747e-05
0.06428740000000001,2.541198418647334e-05
0.06428740000000001,2.557807558638493e-05
0.06428740000000001,2.5744166986296524e-05
0.06428740000000001,2.5910258386208115e-05
0.06428740000000001,2.6076349786119708e-05
0.06428740000000001,2.62424411860313e-05
0.06428740000000001,2.6408532585942892e-05
0.06428740000000001,2.6574623985854482e-05
0.06428740000000001,2.6740715385766076e-05
0.06428740000000001,2.6906806785677666e-05
0.06428740000000001,2.707289818558926e-05
0.06428740000000001,2.723898958550085e-05
0.06428740000000001,2.7405080985412444e-05
0.06428740000000001,2.7571172385324034e-05
0.06428740000000001,2.7737263785235627e-05
0.06428740000000001,2.7903355185147218e-05
0.06428740000000001,2.806944658505881e-05
0.06428740000000001,2.82355379849704e-05
0.06428740000000001,2.8401629384881995e-05
0.06428740000000001,2.8567720784793585e-05
0.06428740000000001,2.873381218470518e-05
0.06428740000000001,2.889990358461677e-05
0.06428740000000001,2.9065994984528363e-05
0.06428740000000001,2.9232086384439953e-05
0.06428740000000001,2.9398177784351547e-05
0.06428740000000001,2.9564269184263137e-05
0.06428740000000001,2.973036058417473e-05
0.06428740000000001,2.989645198408632e-05
0.06428740000000001,3.0062543383997914e-05
0.06428740000000001,3.0228634783909508e-05
0.06428740000000001,3.0394726183821098e-05
0.06428740000000001,3.056081758373269e-05
0.06428740000000001,3.0726908983644285e-05
0.06428740000000001,3.0893000383555875e-05
0.06428740000000001,3.1059091783467466e-05
0.06428740000000001,3.1225183183379056e-05
0.06428740000000001,3.139127458329065e-05
0.06428740000000001,3.155736598320224e-05
0.06428740000000001,3.172345738311383e-05
0.06428740000000001,3.1889548783025424e-05
0.06428740000000001,3.205564018293702e-05
0.06428740000000001,3.222173158284861e-05
0.06428740000000001,3.23878229827602e-05
0.06428740000000001,3.255391438267179e-05
0.06428740000000001,3.272000578258339e-05
0.06428740000000001,3.288609718249498e-05
0.06428740000000001,3.305218858240657e-05
0.06428740000000001,3.321827998231816e-05
0.06428740000000001,3.3384371382229756e-05
0.06428740000000001,3.3550462782141346e-05
0.06428740000000001,3.3716554182052936e-05
0.06428740000000001,3.3882645581964526e-05
0.06428740000000001,3.4048736981876123e-05
0.06428740000000001,3.4214828381787714e-05
0.06428740000000001,3.4380919781699304e-05
0.06428740000000001,3.4547011181610894e-05
