Bin,Count,Volumetric number density,Population density
0.15849-0.25119,1298,0.028002200481085572,0.30207556324606055
0.25119-0.39811,2634,0.056824188033266096,0.38677346579696226
0.39811-0.63096,1204,0.025974306147324367,0.11154943846209613
0.63096-1,255,0.005501202713926672,0.014906685261567049
1-1.5849,71,0.001531707422308995,0.0026187814152253608
1.5849-2.5119,43,0.0009276537909758703,0.0010007125746980432
2.5119-3.9811,19,0.00040989353554747755,0.000278993768038811
3.9811-6.3096,2,4.314668795236606e-05,1.8529807053504333e-05
