Pore EqRadius,Cumulative Frequency of Pore Body Volume
187.0329437,2.5955825437817937e-06
191.6643372,5.388798360789704e-06
194.3390656,8.300594065965928e-06
196.0821228,1.1291442966781568e-05
198.0772705,1.4374520627412922e-05
198.6399994,1.7483949416396878e-05
199.1995544,2.0619729333733432e-05
200.8596191,2.38345624467094e-05
200.8596191,2.704939555968537e-05
202.2223511,3.033010649354284e-05
202.4927063,3.362399299157661e-05
205.6820831,3.7075985880889214e-05
208.52120969999999,4.067290997614112e-05
208.52120969999999,4.426983407139302e-05
208.7755127,4.787993373082122e-05
211.0367889,5.160861308899935e-05
213.4937897,5.5469048088940484e-05
214.4609375,5.938218534558682e-05
214.9412537,6.332167373058575e-05
217.5454102,6.740609294268722e-05
217.7790833,7.150368771896498e-05
218.2449188,7.562763362359535e-05
218.2449188,7.97515795282257e-05
218.708786,8.390187656120868e-05
221.9020538,8.823663111382307e-05
224.1279144,9.270314130820046e-05
225.2244415,9.723552894462259e-05
226.5263519,0.00010184696996610251
226.9570007,0.00010648476211593504
228.6635132,0.00011122795877917796
230.1360931,0.00011606338401281821
230.969162,0.00012095151150316367
231.3834686,0.00012586599012186174
231.7962799,0.0001308068198689124
232.2076263,0.00013577400074431565
233.6360016,0.000140833410568953
233.6360016,0.00014589282039359036
234.0409241,0.00015097858096774355
234.6456909,0.00015610386823442562
235.0471344,0.00016125550662946032
235.247345,0.0001664203205886713
235.6467438,0.0001716114856762349
235.6467438,0.00017680265076379847
236.8368988,0.00018207286923641988
237.4275208,0.00018738261440157016
237.6237335,0.00019270553513089675
239.1819763,0.00019813385999479697
239.1819763,0.00020356218485869718
239.953537,0.00020904321197930258
240.1456451,0.00021453741466408432
240.7201691,0.00022007114404139493
241.1016541,0.00022563122454705815
241.1016541,0.00023119130505272137
241.4819336,0.0002367777366867372
242.42745969999999,0.00024243004576279773
243.7389069,0.0002481745837880924
244.2966614,0.00025395864850591594
244.8518829,0.0002597822399162684
245.0364075,0.00026561900689079716
245.954834,0.0002715216513073706
246.8664703,0.0002774901735448256
247.229248,0.0002834850469106332
247.5909576,0.00028950627140479336
248.131546,0.00029556702259148245
248.3112183,0.00030164094934234784
248.3112183,0.0003077148760932132
248.6697998,0.00031381515397243116
250.975708,0.00032008671380710427
251.1513367,0.0003263714492059537
251.6767578,0.000332695711297332
253.067276,0.00033912537752328397
256.6464844,0.00034583173021810143
256.6464844,0.0003525380829129189
257.3170166,0.00035929713786444156
257.3170166,0.0003660561928159642
257.4841003,0.00037282842371049997
257.6509705,0.00037961382979037525
258.6477051,0.00038647828925530834
259.1431885,0.0003933822750339335
259.9648438,0.000400352139012277
260.12854,0.00040733517817596
260.12854,0.000414318217339643
260.2920227,0.0004213144324463391
260.9440002,0.00042836334980974033
261.4308167,0.00043545179348683375
261.5927124,0.00044255341310694025
262.2382202,0.00044970773422607836
262.8805542,0.0004569147576019217
262.8805542,0.000464121780977765
262.8805542,0.0004713288043536084
263.0406494,0.00047854900367246477
263.3602905,0.0004857955541196738
264.6310425,0.0004931475090802932
264.789032,0.0005005126392262521
265.8897095,0.0005079699979426084
266.0462036,0.0005154405326019778
266.5145874,0.0005229505935750392
266.8259277,0.0005304870056764532
266.9813538,0.0005380365937208804
267.1365662,0.000545599356950647
267.2915955,0.0005531752961234268
267.2915955,0.0005607512352962065
267.4464722,0.0005683403496543258
268.2181091,0.0005759953422121633
268.985321,0.0005837162122120455
269.7481995,0.0005915029596539725
270.3553772,0.0005993424093526048
270.657959,0.0006072082101795896
