ID of Interconnected Segment,% of Total Skeleton Length
455,0.02689
456,0.026857
457,0.026853
458,0.026784
459,0.026715
460,0.026653
461,0.026599
462,0.026434
463,0.026387
464,0.026374
465,0.026346
466,0.026334
467,0.026281
468,0.026281
469,0.02614
470,0.026091
471,0.026054
472,0.026005
473,0.025973
474,0.025964
475,0.025942
476,0.025903
477,0.025842
478,0.025826
479,0.025791
480,0.025725
481,0.025653
482,0.025509
483,0.025477
484,0.025453
485,0.025385
486,0.025187
487,0.025159
488,0.025128
489,0.02493
490,0.024793
491,0.024782
492,0.024735
493,0.024708
494,0.024619
495,0.024602
496,0.024599
497,0.024574
498,0.024531
499,0.024438
500,0.024276
501,0.024214
502,0.024212
503,0.024193
504,0.024045
505,0.023885
506,0.023874
507,0.02374
508,0.023694
509,0.023624
510,0.023546
511,0.023539
512,0.0235
513,0.023382
514,0.023371
515,0.023355
516,0.023326
517,0.023325
518,0.023312
519,0.023253
520,0.023158
521,0.023144
522,0.023136
523,0.023099
524,0.023046
525,0.023035
526,0.023032
527,0.023021
528,0.023004
529,0.022975
530,0.022715
531,0.022706
532,0.022678
533,0.022661
534,0.022654
535,0.022642
536,0.022614
537,0.022568
538,0.022516
539,0.022504
540,0.022385
541,0.022369
542,0.0223
543,0.022287
544,0.022251
545,0.022251
546,0.022229
547,0.02216
548,0.022096
549,0.021966
550,0.021955
551,0.021941
552,0.021919
553,0.021849
554,0.021822
555,0.021813
556,0.02176
557,0.02176
558,0.021723
559,0.021639
560,0.021639
561,0.021591
562,0.021586
563,0.021547
564,0.021547
565,0.021453
566,0.021328
567,0.021328
568,0.021322
569,0.021291
570,0.021173
571,0.021045
572,0.020951
573,0.020944
574,0.020903
575,0.020896
576,0.020885
577,0.020824
578,0.02075
579,0.02074
580,0.020736
581,0.020723
582,0.020666
583,0.020639
584,0.020631
585,0.020592
586,0.020569
587,0.02042
588,0.020339
589,0.0203
590,0.020083
591,0.020041
592,0.020023
593,0.02002
594,0.019989
595,0.01983
596,0.019771
597,0.019727
598,0.019727
599,0.019705
600,0.019692
601,0.019655
602,0.019649
603,0.019574
604,0.019469
605,0.019446
606,0.019438
607,0.01942
608,0.019413
609,0.019371
610,0.019366
611,0.01929
612,0.019286
613,0.019171
614,0.019087
615,0.019066
616,0.018932
617,0.018864
618,0.018835
619,0.018708
620,0.018688
621,0.018619
622,0.01853
623,0.018513
624,0.018505
625,0.018496
626,0.018494
627,0.018494
628,0.018494
629,0.018415
630,0.018388
631,0.018361
632,0.018354
633,0.018312
634,0.018282
635,0.018264
636,0.018205
637,0.018155
638,0.018076
639,0.01804
640,0.01797
641,0.017918
642,0.017901
643,0.017847
644,0.017732
645,0.017652
646,0.017626
647,0.017437
648,0.017426
649,0.017362
650,0.017362
651,0.017234
652,0.017219
653,0.017173
654,0.017132
655,0.016977
656,0.016976
657,0.016976
658,0.016931
659,0.016796
660,0.016795
661,0.016787
662,0.016689
663,0.016682
664,0.016471
665,0.016464
666,0.016406
667,0.016398
668,0.016282
669,0.016079
670,0.015489
671,0.015473
672,0.011656
