BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,Breadth3d (?m) ,Length3d (?m) ,Width3d (?m) ,Thickness3d (?m) ,a,b,c,EqDiameter,Area3d (?m^2) ,Volume3d,OrientationPhi,OrientationTheta,Shape_VA3d,Sphericity,index
33864.6,9377.51,3206.85,722.769,904.157,361.478,290.373,904.157,361.478,290.373,446.93,907997,4.67E+07,67.7175,-57.5421,3.02949,0.691104,39
45133.7,7090.3,3174.03,426.752,530.63,342.782,327.645,530.63,342.782,327.645,370.229,457179,2.66E+07,79.4129,-165.892,1.19671,0.941899,40
30416,7206.44,3216.28,392.576,747.075,320.47,279.989,747.075,320.47,279.989,333.015,452265,1.93E+07,59.5069,-127.281,2.18748,0.770345,41
36612.8,7637.59,3095.6,220.026,331.035,211.231,205.013,331.035,211.231,205.013,210.288,136105,4.87E+06,55.2766,-47.6241,0.940337,1.02072,42
31474.3,8228.29,3125.27,397.899,502.39,300.092,306.058,502.39,306.058,300.092,325.667,354173,1.81E+07,72.6648,160.246,1.20104,0.940766,43
44222.5,9322.79,3037.18,177.236,230.644,130.64,129.939,230.644,130.64,129.939,151.161,66795.7,1.81E+06,71.577,-96.3749,0.805665,1.07469,44
40936.3,22519.7,3298.93,675.257,822.696,630.875,599.896,822.696,630.875,599.896,611.116,1.27E+06,1.20E+08,55.1627,-10.4045,1.27126,0.923113,45
31017.9,8824.78,3202.19,354.208,428.462,328.221,319.835,428.462,328.221,319.835,321.437,325275,1.74E+07,81.607,-155.159,1.0063,0.997909,46
43068.8,9061.6,3169.88,293.111,331.182,230.894,234.904,331.182,234.904,230.894,238.405,180453,7.09E+06,62.8357,1.10863,1.03215,0.989507,47
33680,10829.4,3057.11,51.8154,56.7295,56.7295,51.8154,56.7295,56.7295,51.8154,64.2874,8065.75,139116,90,0,0.239733,1.60975,48
30726.5,11869.4,3168.14,239.213,318.998,191.176,188.569,318.998,191.176,188.569,195.214,120950,3.90E+06,30.261,-161.068,1.03109,0.989847,49
24197.8,8394.09,3186.65,56.9266,108.286,80.1133,52.6118,108.286,80.1133,52.6118,80.9971,15151.1,278232,0,90,0.397256,1.36033,50
33073.8,9148.24,3319.48,354.236,423.566,323.919,298.446,423.566,323.919,298.446,308.028,300068,1.53E+07,57.9331,-98.3762,1.02016,0.993368,51
33877.9,11041.4,3193.71,197.593,230.588,118.632,113.056,230.588,118.632,113.056,142.974,62906.8,1.53E+06,70.611,-103.128,0.939943,1.02086,52
24923.2,11192.1,3221.19,160.42,191.052,151.827,123.227,191.052,151.827,123.227,116.818,41201.5,834695,36.7918,-45,0.887625,1.04054,53
37255.3,23682.5,3270.13,202.274,268.388,169.601,147.619,268.388,169.601,147.619,168.481,85480.5,2.50E+06,51.6075,-36.6808,0.880745,1.04324,54
31620.7,9011.56,3440.62,334.562,553.357,306.841,290.941,553.357,306.841,290.941,327.329,354697,1.84E+07,53.2828,106.281,1.17009,0.948987,55
38806.1,20572.7,3665.95,675.976,989.103,549.249,529.269,989.103,549.249,529.269,651.543,1.45E+06,1.45E+08,45.0402,-154.672,1.27517,0.92217,56
31329,9955.36,3447.03,333.256,372.98,299.68,269.576,372.98,299.68,269.576,297.398,274587,1.38E+07,18.1364,131.177,0.965081,1.01192,57
28550.3,10777.6,3316.19,51.8154,56.7295,56.7295,51.8154,56.7295,56.7295,51.8154,64.2874,8065.75,139116,90,0,0.239733,1.60975,58
30742.8,8696.02,3611.51,614.627,712.411,433.616,500.739,712.411,500.739,433.616,518.945,904737,7.32E+07,82.8798,-119.513,1.2229,0.935125,59
32393.9,9281.43,3490.14,274.181,363.581,240.441,236.289,363.581,240.441,236.289,245.955,194791,7.79E+06,49.7112,144.222,1.07678,0.975643,60
32825.1,9456.31,3393.91,188.843,251.556,113.459,125.673,251.556,125.673,113.459,161.994,78300.7,2.23E+06,90,90,0.856745,1.05289,61
33452.4,8644.62,3516.5,333.094,382.368,278.474,277.175,382.368,278.474,277.175,295.382,272651,1.35E+07,74.1519,-127.239,0.984177,1.00533,62
27332.6,13782.9,3419.82,125.978,258.739,72.2482,65.8792,258.739,72.2482,65.8792,116.818,41223.4,834695,90,39.6902,0.889046,1.03998,63
16220.2,7188.84,3734.42,657.693,1079.55,546.336,517.592,1079.55,546.336,517.592,546.406,1.21E+06,8.54E+07,78.5687,-147.421,2.12364,0.777988,64
43162.2,8031.39,3471.63,51.8154,56.7295,56.7295,51.8154,56.7295,56.7295,51.8154,64.2874,8065.75,139116,90,0,0.239733,1.60975,65
49801.1,8390.86,3648.45,423.784,519.692,256.413,220.735,519.692,256.413,220.735,277.006,300819,1.11E+07,72.5798,-138.259,1.94326,0.801352,66
50188.4,8477,3492.36,133.931,178.925,126.51,91.6053,178.925,126.51,91.6053,109.93,33274.1,695579,45,-8.55E-07,0.673248,1.14097,67
29345.7,10523.7,3557.13,185.098,245.681,184.898,168.764,245.681,184.898,168.764,174.503,90889.7,2.78E+06,19.6565,80.0239,0.857589,1.05254,68
37588.8,11760.4,3785.09,707.388,935.542,638.884,646.391,935.542,646.391,638.884,603.431,1.38E+06,1.15E+08,84.5519,-118.449,1.73915,0.831548,69
38696.4,23930.5,3594.76,331.283,412.636,312.958,297.099,412.636,312.958,297.099,299.387,276488,1.41E+07,27.6624,-84.7816,0.946635,1.01845,70
42668.9,7974.99,4136.67,579.621,1547.73,481.664,368.788,1547.73,481.664,368.788,592.029,1.54E+06,1.09E+08,29.8617,-145.336,2.7454,0.714164,71
47370.2,9973.1,3599.81,197.169,289.962,176.092,161.221,289.962,176.092,161.221,171.545,96807.6,2.64E+06,74.0939,19.0516,1.14819,0.954981,72
32661,10639.4,3523.45,94.7203,147.67,61.9024,57.7662,147.67,61.9024,57.7662,92.7185,21665.8,417347,90,-45,0.516269,1.24655,73
30817.9,13504.4,4232.08,874.595,1452.33,505.427,460.636,1452.33,505.427,460.636,650.079,2.03E+06,1.44E+08,22.9668,-124.89,3.56903,0.65436,74
12746.6,6995.08,3627.08,62.0379,159.843,84.2988,53.4083,159.843,84.2988,53.4083,92.7185,22236.5,417347,0,90,0.558153,1.21455,75
32954.6,7417,3597.47,166.164,191.831,124.417,111.818,191.831,124.417,111.818,122.977,43772.4,973811,57.5371,119.893,0.781988,1.08543,76
50503.1,7737.87,3798.98,549.126,598.845,439.716,461.269,598.845,461.269,439.716,448.696,674414,4.73E+07,88.7224,-56.1196,1.21232,0.937838,77
